14352	Bahemba - Bambuti
14356	Twiganeho - Civilians
14402	APCLS - NDC-R
14501	FPP-AP - NDC-R
14547	APCLS - APCLS-R, NDC-R
14564	CMC, NDC-R - CNRD
14602	APCLS, CMC - NDC-R
14692	DR Congo (Zaire): Islamic State
14726	CNPSC - Ngumino, Twiganeho
14727	CNPSC - Ngumino
14745	URDPC - Civilians
14936	Mayi Mayi Luwotu, RNL - RCD-K-ML
14995	FPP-AP - Mayi Mayi Mazembe, NDC-R
15023	AFP-Gutabara - CNPSC
15043	FPIC - Civilians
15044	Zaire self-defense group - Civilians
15051	NDC-R - NDC-R-GBS
15092	AFP-Gutabara, RED-TABARA , Twiganeho - CNPSC
15268	FPP-AP, NDC-R-GBS - NDC-R
15279	Nyatura Nduhuye - Raia Mutomboki Butachibera
15312	AFP-Gutabara, Ngumino - Civilians
15345	CODECO-BTD - Civilians
15501	Iyeke (Batwa) - Nkundo
403	Ecuador - Peru
4641	Huaorani - Tagaeri
15266	Los Choneros - Los Chone Killers , Los Lobos , Los Pipos, Los Tiguerones
15386	Los Choneros - Los Lobos
234	Israel: Palestine
391	Egypt: Government
482	Government of Egypt - Civilians
526	al-Gama'a al-Islamiyya - Civilians
544	Tawhid wal Jihad - Civilians
4960	Copts (Egypt) - Muslims (Egypt)
4994	Supporters of al-Ahly football team  - Supporters of al-Masry football team
11072	Opponents of Morsi - Supporters of Morsi
13196	Bani Hilal - Nubian Dabudiya
13648	Egypt: Islamic State
316	El Salvador: Government
326	Eritrea: Government
409	Eritrea - Ethiopia
699	Government of Eritrea - Civilians
267	Ethiopia: Government
275	Ethiopia: Eritrea
329	Ethiopia: Ogaden
363	Ethiopia: Afar
413	Ethiopia: Oromiya
469	Government of Kenya - Civilians
474	Government of Ethiopia - Civilians
561	ONLF - Civilians
934	TPLF - Civilians
4569	Afar - Kereyou
4570	Afar - Issa (Dir)
4576	Amaro - Guji
4581	Anuak - Dinka
4582	Anuak - Nuer
4590	Bi'idyahan subclan of Majerteen clan (Darod) - Ismail subclan of Makahil clan (Darod)
4595	Borana - Guji
4596	Borana - Konso
4597	Borana - Gabra, Garre
4598	Burji - Guji
4606	Dawa - Gura
4607	Derashe - Konso
4611	Dizi   - Suri
4613	Nyangatom  - Turkana
4627	Gabra - Guji
4632	Gumuz - Oromo
4660	Lou Nuer - Murle
4670	Majerteen subclan (Darod) - Marehan subclan (Darod)
4671	Majerteen subclan (Darod) - Ogaden clan (Darod)
4672	Dassanetch - Turkana
4677	Murle - Nuer
4682	Ogaden clan (Darod) - Sheikhal clan (Dir)
4739	Amhara - Oromo
4740	Arbore - Borana
4741	Borana - Degodia
4742	Borana - Garre
4743	Borana, Guji - Garre
4744	Derashe - Zeyle
4745	Gedeo - Guji
4746	Rer Liban subclan of Habr Awal (Issaq) - Rer Samatar subclan of Habr Awal (Issaq)
4761	Ajuran - Garre
4887	Al-Shabaab - ONLF
4916	Anuak - Highlanders
4921	Suri - Tishana-Me’en
4923	Geri - Makahin
4924	Borana - Gabra
4927	Ari - Mursi
4949	Dassanetch - Gabra
4953	Degodia - Garre
11447	Ethiopia: Hararghe
13623	Hamar (Ethiopia) - Nyangatom
13624	Borana - Hamar (Ethiopia)
14470	Oromo - Gamo, Guraghe
14471	Oromo - Dorze, Gamo, Guraghe, Silt'e, Wolayta
14542	Amhara - Qimant
14690	Amhara - Gumuz
14935	Ethiopia: Amhara
14893	OLA - Civilians
14983	Afar - Oromo
15079	Ale - Konso
15130	Amhara, Guraghe - Oromo
15166	Amhara, Oromo, Shinasha - Gumuz
15207	Agaw, Amhara - Gumuz
15226	Government of Eritrea, Government of Ethiopia - Civilians
15541	Agaw, Amhara, Shinasha - Gumuz
342	Spain: Basque
352	Sri Lanka (Ceylon): Eelam
608	al-Qaida  - Civilians
693	Government of Gambia - Civilians
380	Georgia: Government
392	Georgia: Abkhazia
393	Georgia: South Ossetia
401	Russia (Soviet Union): Chechnya
527	Republic of Abkhazia - Civilians
4747	Forest Brothers, White Legion - Republic of Abkhazia
4748	Republic of Abkhazia - White Legion
205	Iran: Kurdistan
315	United Kingdom: Northern Ireland
4566	Abudu  - Andani
4658	Kusasi - Mamprusi
4749	Gonja - Konkomba, Nawuri
4750	Dagomba, Gonja, Nanumba - Konkomba
233	Guatemala: Government
445	Government of Guatemala - Civilians
629	Los Zetas - Civilians
4668	Mara 18 (Guatemala) - Mara Salvatrucha (Guatemala)
