org_id	org_name
6918	Twiganeho
6920	CMC
6960	Bambuti, Batwa
6756	Batabwa
5801	FDLR-RUD
7089	Bahemba
6942	Bambuti
7230	FPP-AP
7269	APCLS-R, NDC-R
7288	CMC, NDC-R
7330	APCLS, CMC
7197	Ngumino, Twiganeho
7194	Ngumino
7463	URDPC
7098	RNL
7641	Mayi Mayi Luwotu, RNL
7755	AFP-Gutabara
7644	FPIC
7734	Zaire self-defense group
7752	NDC-R-GBS
7760	AFP-Gutabara, RED-TABARA , Twiganeho
8015	FPP-AP, NDC-R-GBS
7134	Nyatura Nduhuye
6833	Raia Mutomboki Butachibera
7735	AFP-Gutabara, Ngumino
7938	CODECO-BTD
8270	Iyeke (Batwa)
8271	Nkundo
20	Government of Ecuador
21	Government of Peru
773	Huaorani
780	Tagaeri
7971	Los Choneros
8012	Los Chone Killers , Los Lobos , Los Pipos, Los Tiguerones
8009	Los Lobos
209	Hamas
117	Government of Egypt
341	al-Gama'a al-Islamiyya
395	Tawhid wal Jihad
1132	Copts (Egypt)
1133	Muslims (Egypt)
1183	Supporters of al-Ahly football team
1184	Supporters of al-Masry football team
3307	Opponents of Morsi
3306	Supporters of Morsi
4319	Ansar Bayt al-Maqdis
5792	Bani Hilal
5793	Nubian Dabudiya
6616	Harakit Sawa'id Misr
6844	Jama'at Ansar al-Islam
13	Government of El Salvador
755	FMLN
495	EIJM - AS
97	Government of Ethiopia
410	TPLF
414	EPRDF
413	Military faction (forces of Amsha Desta and Merid Negusie)
416	EPLF
542	AIAI
497	ONLF
520	ARDUF
551	OLF
91	Government of Kenya
635	Kereyou
624	Issa (Dir)
578	Amaro
613	Guji
581	Anuak
598	Dinka
660	Nuer
709	Bi'idyahan subclan of Majerteen clan (Darod)
710	Ismail subclan of Makahil clan (Darod)
591	Borana
1039	Konso
3807	Gabra, Garre
592	Burji
596	Dawa
614	Gura
919	Derashe
601	Dizi
688	Suri
712	Nyangatom
693	Turkana
609	Gabra
899	Gumuz
706	Lou Nuer
655	Murle
711	Majerteen subclan (Darod)
644	Marehan subclan (Darod)
663	Ogaden clan (Darod)
713	Dassanetch
682	Sheikhal clan (Dir)
916	Amhara
917	Arbore
918	Degodia
1079	Garre
3805	Borana, Guji
920	Zeyle
921	Gedeo
922	Rer Liban subclan of Habr Awal (Issaq)
923	Rer Samatar subclan of Habr Awal (Issaq)
924	Ajuran
1073	Highlanders
1078	Tishana-Me’en
1027	Geri
1081	Makahin
1083	Ari
1084	Mursi
1115	IGLF
1123	SPLM/A-North
1215	Forces of Harar garrison
6294	Hamar (Ethiopia)
7201	Gamo, Guraghe
7204	Dorze, Gamo, Guraghe, Silt'e, Wolayta
7260	Qimant
7438	Military faction (forces of Asaminew Tsige)
7595	OLA
7792	Ale
7836	Amhara, Guraghe
7880	Amhara, Oromo, Shinasha
7942	Agaw, Amhara
7963	Government of Eritrea, Government of Ethiopia
8326	Agaw, Amhara, Shinasha
207	Fatah
35	Government of Spain
313	ETA
145	Government of Sri Lanka
320	LTTE
71	Government of Gambia
63	Government of Georgia
332	National Guard and Mkhedrioni
333	Zviadists
342	Republic of Abkhazia
343	Republic of South Ossetia
352	Chechen Republic of Ichkeria
3824	Forest Brothers, White Legion
813	White Legion
114	Government of Iran
164	KDPI
28	Government of United Kingdom
282	PIRA
570	Abudu
892	Andani
1057	Kusasi
1058	Mamprusi
1060	Gonja
3803	Konkomba, Nawuri
3802	Dagomba, Gonja, Nanumba
1062	Konkomba
11	Government of Guatemala
732	URNG
1088	Los Zetas
776	Mara 18 (Guatemala)
777	Mara Salvatrucha (Guatemala)
782	Gulf Cartel
775	Sinaloa Cartel
77	Government of Guinea
463	RFDG
532	RUF
696	ULIMO - K
533	AFRC
1116	LDF
1071	Torma
1072	Torma Manian
1141	Kpelle
1139	Malinké
1713	Konianke
7813	Konianke, Malinké
73	Government of Senegal
529	MFDC
70	Government of Guinea-Bissau
549	Military Junta for the Consolidation of Democracy, Peace and Justice
1045	Buxton gang
6	Government of Haiti
763	Military faction (forces of Himmler Rebu and Guy Francois)
764	Military faction (forces of Raol Cédras)
765	FLRN
766	OP Lavalas
850	Supporters of Jean-Bertrand Aristide
851	Supporters of Roger Lafontant
7793	G9 an Fanmi e Alye
